id,mass_dynamical [solar_mass],t0h [yr]
IC 4499,54355.44339332891,14114844779.105043
NGC 104,466945.51897825673,9432256321.156126
NGC 1851,180564.05145230293,1748472843.773303
NGC 2419,318199.2138851556,113204179710.01103
NGC 2808,373061.0279090364,3751288707.3371544
NGC 288,45154.38496493928,5484700503.243328
NGC 3201,102732.26143395124,4912905406.496517
NGC 4147,16941.595493580196,1432316101.2440944
NGC 4590,26296.82129825944,4869826164.064686
NGC 5024,122811.4178705491,15197450985.094358
NGC 5053,24079.911849091404,19374428697.61772
NGC 5139,1985184.9641740047,32891701059.58793
NGC 5272,192817.56603865555,16323164046.041096
NGC 5286,151596.02904114028,3406146864.5185204
NGC 5466,28770.98477425564,15059088993.920202
NGC 5694,127406.94100048367,4918787037.94647
NGC 5824,525826.6465005678,7849456099.98548
NGC 5904,108634.80133957868,6783833673.15727
NGC 6093,253736.1062812758,1672612172.237376
NGC 6121,41232.496007155,2233004552.005068
NGC 6171,50350.39202741451,2627014442.8213134
NGC 6205,163632.97130566658,5277614537.010004
NGC 6218,111507.78782128655,1956764830.778312
NGC 6254,101107.6984942194,2095555265.6392493
NGC 6341,82449.84255640268,2759219002.222461
NGC 6362,33043.99758742627,4151717995.850191
NGC 6366,4672.471555062327,1382870190.9838414
NGC 6388,497474.94461597933,2112202531.6559825
NGC 6441,579544.6764524463,3273557032.695223
NGC 6535,9006.569146723506,410824593.65431225
NGC 6626,216787.8228651014,3917959118.7687354
NGC 6656,176965.05966351126,4493802282.844784
NGC 6712,45903.59599522464,2339915136.90343
NGC 6715,648108.0118915433,22658119466.254158
NGC 6779,44755.82707474099,2686132498.136832
NGC 6809,66146.86163986383,5131094961.392809
NGC 6838,9559.63257075397,698065175.4052316
NGC 6864,275922.8282493354,3746021812.1457973
NGC 6934,75739.61741822798,2887799147.4899
NGC 7089,221738.17876234933,6654394753.838791
NGC 7492,11782.166256170089,7156666605.976333
Pal 13,2051.0201798226326,570724569.0717684
Pal 14,4039.711161398044,26920215211.44224
Pal 5,20732.184640733878,17247775511.52734
